"address","balance"
"0xcaf15d9cd7cfd573964e3dc88fc6ffea25f89d8f",202000000000000000000
"0xf190f0193b694d9d2bb865a66f0c17cbd8280c71",500000000000000000000
"0xecd7da67e6563bbddfc2ddff9ba2632c721af181",1.768e+22
"0x31d04a32f22022ec66afe6c2351db768ed32b873",300000000000000000000
"0xc7c78f87e2e8d1d55104c8f6fae07966cfc577fd",294000000000000000000
"0x72aed3d59cc889b8ab5d943c703f45c4aeaebf86",200000000000000000000
"0x6847dedbb505b0b075b98db8f34f1d62f85e0d9d",202000000000000000000
"0xac1d10865db58adba0826d94734129ec8a5741d7",438022523392513800000
"0xfe8ef260e63a3388bb3f3174cf080f4423414100",202000000000000000000
"0x622b2c840d856181661482a2f7d9a5a41e0f992a",820000000000000000000
"0xdfa352daf510611ecc1a4ea0d02d6cae8cc3e2e0",454819045040000000000
"0x2746dc307f68a8346e9ab34aec63ab358e6dab82",220000000000000000000
"0x9c6d12aaa2fb615467c36b4db6b7e3402fb4f45f",1.5e+21
"0x904367561bae5b96b4332c4c5ec338be097b3240",240000000000000000000
"0x16ae23df74c294c4fa4c81b278e7c94c25df8c75",400000000000000000000
"0x39fc4cdaa0e79efe7687822f1c0bacc87e1deede",202000000000000000000
"0x65c6f8dce120363cad39c85e4e5d643cf8126a83",200000000000000000000
"0x019dd0bbd3693f838a544df08ed4e2348d82d7a7",202000000000000000000
"0x20621e35f40cb15fe63d1af047413a6c5dc304b8",399937000000000000000
"0x80f564f022d22730ef980753f97be31b9fe28aae",200000000000000000000
"0xc22d2aeecc87e3907c277457e0152deb01c4a55a",210000000000000000000
"0x8761e0dd63d14cf566acf4b730f3540f164b6b56",400000000000000000000
"0xf7bad6c588967b9a512a423b21a3856744f8d6d8",0
"0xe5d93dd474988b60b354339da3a845d9cd35ec5f",800000000000000000000
"0x907f20132c1b706026987d592aa6f5bfe83ff314",400000000000000000000
"0xb0febed47971f087695d66ea548599f722cd67a5",1.36e+21
"0x763d5862600d0326e14541c0687e79888999b9ab",320000000000000000000
"0x5721e592da25b96edd4d44c632cb841ac7ac47bb",815000000000000000000
"0x8cbc229cad155b95b4174647ba705d6a414b8cca",300000000000000000000
"0x77f6d9261dd8e45c0e8555aa86ab1648da9b95c3",400000000000000000000
"0x8c13278a1d8310cd4c6943eb17fad81765992431",202000000000000000000
"0xf062ceb02b73515c603707458cb3ffdf484eeb5a",548000000000000000000
"0xe0dd6cd8f2053e34ee34bb4c96c16d7e487896db",200000000000000000000
"0x62356e055f2165d0c5e812a7445700727a7934da",1.9e+21
"0x9926df844af52a567929c2b32133ccf1c66dd4fd",202000000000000000000
"0x0e3374a49caa66c34eda91517dd5de77a9a4bbee",202000000000000000000
"0x49fc5195aad930b4df3ec1e50bb14af3586f0793",200000000000000000000
"0x553315181e9d643831936b90d63221a335c793ef",200000000000000000000
"0xa5959231dda9b429668bf198aa3580d05eb12f2e",740000000000000000000
"0xcd5164c8c8a6c4d0c49e6fa5872435c33ab42af5",230000000000000000000
"0x37aa7b1343faa68806f453f45b09dd24a1c8f3d4",1e+21
"0x3b412c92e78fe2a323a5fc7cd9d31fa0226ffe14",1.46e+21
"0xe92356c05d03fce81063caaafca1493ef6619445",201000000000000000000
"0xdd41883adc2e8db3d3e52ae06ce754ab7563a53b",1.3298e+21
"0x349b49ac381d097b12f38747447776a0b4d91bfc",280000000000000000000
"0x2198eefc694f5d50634a950e10074a11442f41a8",202000000000000000000
"0x42d2184dac8580e6224b361a36ca3a917f7ea67b",200000000000000000000
"0x01405ab95de872f1745d6b88a155f00f91a7e93e",200000000000000000000
"0x7a03a44fe2c6f98debc35800a6899ccf0869be71",600000000000000000000
"0x38ea9aeb4a849f9accde0c17ccfaeeb53ba6a393",400000000000000000000
"0x009b740f1670af3a6b62d661f182f15a24a010ae",202000000000000000000
"0xd6dda35c4216e343b325ccffe0615accae1f82b0",200000000000000000000
"0xea9900f8b55efc75c9bca99377e0f026e537544b",60000000000000000000
"0x38148ecc2078da7f65e6233dda28efaf4c51e96f",100000000000000000000
"0x100dbb75eab5d98ad65ef16483aaa68e68aafbc5",140000000000000000000
"0x9e108a4aaa86d2edc1fe4e393c8dfb0f37433559",40000000000000000000
"0x67d33cf1c7c699078f86d517a5a1cd1444a1e85c",100000000000000000000
"0x712033cf8adc1e60beadb8b52c8a02f02bffe336",203400000000000000000
"0xee9baf220c6afe2e846d1788e53ca5a0d3dcb339",202000000000000000000
"0xd082c621b2a166b90ab607b11decc4e038045177",202000000000000000000
"0x0a8966d44be0272295814e876791431791440256",200600000000000000000
"0x9f9f6768fcd665b0ae17f02601a24a60d1eb5dab",200000000000000000000
"0x5fe218e03a4a0ccd7f3eeac9a51fd23c0fc369a1",400000000000000000000
"0x4bd120e887cc82285aff8408dc208ed32b132bb3",200000000000000000000
"0x8d21e3c8993633546e89cb4a24e5c0a5bc4d97e5",200000000000000000000
"0x54ce1d1fc211817f280c5e123eb131d7a0b0beb5",660000000000000000000
"0xda4cc246162e13f26864cacf19152695d252e671",202000000000000000000
"0xac463695dcdf0aa5c16fd74d6be2b831b0512971",200000000000000000000
"0x874f59a177348ae3d540d58ac8c5d23a4e77b1e3",202000000000000000000
"0x9c79aef1d586452220ff23fa6b7791fcae1e7edb",200000000000000000000
"0x6229cf71deccb5d87767e747f5a5c7738db7e40f",200000000000000000000
"0x1bf32181e831dbc781eeb850d58f801495c4c93d",202000000000000000000
"0xf085548d7bbf66b8731e1a16bd891cad98cb102a",200160000000000000000
"0x8c4531b3f4cdfee616a44eaef29b5b5ee60cdf6d",1.178e+21
"0x486291fea9e334ea87efbac640d7d50ffc7bf8c3",643400000000000000000
"0xb9c5b4bf86119fb67cc6f3df9632de2b46648143",200000000000000000000
"0x901b68e2099f83dcd6e443c86146969ef837ed37",220000000000000000000
"0x4866e8a3683d5b7fca9dabfb9d1188a4a152e976",481000000000000000000
"0x66ff831f74b212bc5b787c4401a5bc63812aa592",212288795860000000000
"0x4089bc81b3e2e986fbd429e03094faf6685200db",200000000000000000000
"0x351faf0b10e7d80fbaa8726b41825a71b9922c95",613200000000000000000
"0x23cbe4413e92c10c2edf9e7fab336d35be555d86",105000000000000000000
"0x0a70de1a644ced8488ec91b4b463826cbf4b5000",270000000000000000000
"0xb18b8edb5d4d1fdff2488714747b609941433ea0",202200000000000000000
"0xd8c184f93f11c591da6e321c8288c6dba85da99e",200000000000000000000
"0x6ba366de900785e24c605e4a8b5261bb23a97fe0",200000000000000000000
"0x97dfdcd746dd32b87aaa2d1a0b292f1a38c77aab",320454000000000000000
"0x7089a6315f2642ea1f21f81d5fde64f20f80f75e",200000000000000000000
"0x8a11d3d03629fbd5cae5f8ef0743bae86868d040",202200000000000000000
"0x240d90a0e69ad8f5de91ddcf5fc83cdc30631f04",500050000000000000000
"0x6653acb6d74ac95f750a687177c5c3d6a5f14c4d",0
"0x081af29ee22c5b902bc6e9c3ce7fa9de77ce8266",0
"0xf81753501afc55776320d567c3af6fcdad1204cf",300000000000000000000
"0x945ef6fb870fce7614626070af43a95d482fd99a",220000000000000000000
"0x7862e990963405616afd1e08cd369433a87adb3a",400000000000000000000
"0x8c245d87069a4e463b954778dad9df0039876a9e",200000000000000000000
"0x2b8f14e64b3be49c75c816a6e7d9596b259656ad",65000000000000000000
"0x0870f0b06a5009d9f6bdad4d3961b4639bb96750",200000000000000000000
"0x123e084fc361a878aef966df784f6b3774084028",400000000000000000000
"0x971d97f261abb1ecb9967878f45d7be1b374c81d",200000000000000000000
"0xedbaaf0005e47f8cd1e70472e93d33543ce1d38e",200000000000000000000
"0x3032967bb88c1289c49d9c8a696e8303ee9b7d88",200000000000000000000
"0x3ab79bb7d1e17730ab32a28019d890c02c6197f4",200000000000000000000
"0x95a4ac9070051437263a019028e0fb7f0c9d12a0",200000000000000000000
"0x8fbaf4d323ba4031f8c1c8614317aefb65c626dc",238162163300000000000
"0xc60debaa978d0c215c37859f8b59b07910afe807",0
"0x76927e2ccab0084bd19cee74f78b63134b9d181e",200000000000000000000
"0x927c78cb90407aa4b4e8e12497022e689cc5cb11",400400000000000000000
"0xd80b5f92b713a3ee048a752faf889734a4a1db93",209160000000000000000
"0xefca48c0672c6ddd1aedc84d7f54ec1b130cf854",202000000000000000000
"0xb23b9c52fc16beb6d44e243ba73936a65fc9b709",400000000000000000000
"0x7202cba14b504ac90f49aea2b698530fde9481dd",1e+21
"0x782b899b1468051b01581548011660b9b1974cab",0
"0x8324de24e3c064af46e0dfaf146d392084e38f0c",200000000000000000000
"0x4cd24ceb901f903958f2d205d2fc218efa9f3d72",100000000000000000000
"0x79785c9729dc6135ff3060d1d8b08780ceb51668",100000000000000000000
"0x17bb4076ab59e0ef20ad5a873ab4b5341bf01b78",400000000000000000000
"0xb1b33acc4e491ad70f5837250defa92c3816f539",65000000000000000000
"0x6dd3a7060d58c8400e13dee3a63fafc8b1f7a7d5",75300000000000000000
"0x4e061bae4a29035c55f62a93b339bc57a9073aaf",400000000000000000000
"0x10af69bd4435e2c09eaa447eb89a5d3d407f5f47",25200000000000000000
"0x6a49dd97e18106c163a9fc6bca3afeb200656f49",40000000000000000000
"0xb5d365aca3e16068ab0eb3b39acf6db62c789267",100000000000000000000
"0x38a92bb6290284033b5871477fcdc2dc9a744baa",100000000000000000000
"0xf6d61560d1b6e70ab61cc58b0daa5b1dff742351",800000000000000000000
